type,name,pos,height
비행 제한 구역,R74,"365200N 1300000E-
365000N 1301300E-
364400N 1302500E-
360200N 1302500E-
360200N 1300000E-
365200N 1300000E",GND-FL500
비행 제한 구역,R75,"373949N 1264824E-
373752N 1264813E-
373701N 1264754E-
373530N 1264817E-
373409N 1264824E-
372653N 1265722E-
372653N 1270338E-
373233N 1270647E-
373447N 1270930E-
373656N 1270830E-
373827N 1270800E-
374033N 1270513E-
374136N 1270317E-
374200N 1270140E-
373758N 1265259E-
373949N 1264824E",GND-FL100
비행 제한 구역,R77,"383200N 1282500E-
383400N 1283100E-
383200N 1283200E-
383000N 1283100E-
383200N 1282500E",GND-FL150
비행 제한 구역,R80,"363500N 1245000E-
363500N 1254200E-
360500N 1254200E-
360500N 1245000E-
363500N 1245000E",GND-FL400
비행 제한 구역,R81,362410N 1281651E,GND-FL200
비행 제한 구역,R84,"351500N 1245000E-
351500N 1254200E-
345000N 1254200E-
345000N 1245000E-
351500N 1245000E",GND-FL400
비행 제한 구역,R88,"370421N 1245000E-
370508N 1253600E-
363500N 1253600E-
363500N 1245000E-
370421N 1245000E",GND-FL400
비행 제한 구역,R89,"355610N 1292051E-
355710N 1292351E-
355710N 1292551E-
355210N 1291951E-
355610N 1292051E",GND-1000
비행 제한 구역,R90A,"355536N 1292547E-
355521N 1292717E-
355325N 1293116E-
355310N 1293101E-
355340N 1292826E-
355330N 1292634E-
355536N 1292547E",GND-2000
비행 제한 구역,R90B,"355330N 1292634E-
355340N 1292826E-
355310N 1293101E-
355036N 1292945E-
355012N 1292745E-
355330N 1292634E",GND-5500
비행 제한 구역,R97A,"362000N 1263100E-
361800N 1263500E-
360200N 1262400E-
361300N 1261100E-
362000N 1263100E",GND-FL300
비행 제한 구역,R97B,"362000N 1255700E-
362000N 1261000E-
362207N 1261443E-
362122N 1263007E-
361400N 1263800E-
355300N 1262200E-
361200N 1260300E-
361400N 1255700E-
362000N 1255700E",GND-UNL
비행 제한 구역,R97C,"362129N 1262254E-
362122N 1263007E-
361400N 1263800E-
354100N 1254400E-
355100N 1253500E-
362129N 1262254E",GND-UNL
비행 제한 구역,R97D,"362117N 1262443E-
362122N 1263007E-
361400N 1263800E-
353500N 1260600E-
354200N 1255200E-
362117N 1262443E",GND-UNL
비행 제한 구역,R97E,"361839N 1263302E-
361400N 1263800E-
360623N 1263211E-
361349N 1262500E-
361839N 1263302E",GND-FL300
비행 제한 구역,R97F,"362000N 1263100E-
361800N 1263500E-
361207N 1263057E-
361718N 1262500E-
362000N 1263100E",GND-FL150
비행 제한 구역,R99,"344500N 1284500E-
344800N 1290000E-
343700N 1290600E-
342000N 1285200E-
342000N 1284100E-
344500N 1284500E",GND-FL360
비행 제한 구역,R100,345300N 1285700E,GND-500
비행 제한 구역,R104,353251N 1262626E,GND-FL150
비행 제한 구역,R105,355326N 1260436E,GND-FL250
비행 제한 구역,R107,"380800N 1295100E-
380800N 1301000E-
373900N 1301000E-
374200N 1295100E-
380800N 1295100E",GND-FL400
비행 제한 구역,R108A,"364046N 1260916E-
364036N 1261158E-
363308N 1261349E-
363258N 1260904E-
364046N 1260916E",GND-FL270
비행 제한 구역,R108B,"364046N 1260916E-
364036N 1261158E-
362925N 1261501E-
362810N 1260728E-
364046N 1260916E",GND-FL330
비행 제한 구역,R108C,"364038N 1261023E-
363410N 1261752E-
345824N 1260307E-
350119N 1254250E-
363810N 1255952E-
364038N 1261023E",GND-UNL
비행 제한 구역,R108D,"364039N 1261003E-
364111N 1261159E-
363657N 1261554E-
363336N 1261554E-
363334N 1261342E-
364039N 1261003E",GND-UNL
비행 제한 구역,R108E,"364039N 1261003E-
364111N 1261159E-
363657N 1261554E-
363336N 1261554E-
363334N 1261342E-
364039N 1261003E",GND-FL400
비행 제한 구역,R108F,"364046N 1260916E-
364036N 1261152E-
361719N 1260032E-
361810N 1255637E-
364046N 1260916E",GND-FL800
비행 제한 구역,R110,"371300N 1284100E-
371300N 1290300E-
365500N 1290300E-
365500N 1284100E-
371300N 1284100E",GND-FL250
비행 제한 구역,R111,"361407N 1262500E-
361426N 1263858E-
360916N 1263908E-
360625N 1263817E-
360607N 1262515E-
361407N 1262500E",GND-FL250
비행 제한 구역,R114,"373420N 1274707E-
373420N 1275142E-
373335N 1275232E-
373150N 1275212E-
373100N 1274942E-
373200N 1274812E-
373420N 1274707E",GND-3000
비행 제한 구역,R115,"372400N 1294500E-
371330N 1310000E-
364900N 1310000E-
372400N 1294500E",GND-FL380
비행 제한 구역,R116,374755N 1243933E,GND-2500
비행 제한 구역,R117,344230N 1254400E,GND-3000
비행 제한 구역,R118,"340000N 1274000E-
340000N 1283000E-
331000N 1275000E-
331000N 1274000E-
340000N 1274000E",GND-2500
비행 제한 구역,R119,"354700N 1294005E-
354300N 1301212E-
353736N 1301212E-
352756N 1295148E-
352800N 1294005E-
354700N 1294005E",GND-2500
비행 제한 구역,R120,"364400N 1302500E-
362500N 1305500E-
361700N 1305500E-
360200N 1302900E-
360200N 1302500E-",GND-FL380
비행 제한 구역,R121,"382500N 1284500E-
382500N 1293000E-
381000N 1293000E-
381000N 1290000E-
381700N 1290000E-
381700N 1284500E-
382500N 1284500E",GND-2500
비행 제한 구역,R122,"372215N 1272641E-
372202N 1272823E-
371919N 1272543E-
372005N 1272445E-
372215N 1272641E",GND-3700
비행 제한 구역,R123,"360000N 1250000E-
360000N 1253000E-
353500N 1253000E-
353500N 1250000E-
360000N 1250000E",GND-3700
비행 제한 구역,R124,"370600N 1254200E-
370600N 1261000E-
365500N 1255700E-
365500N 1254200E-
370600N 1254200E",GND-2500
비행 제한 구역,R125,343300N 1252100E,GND-3500
비행 제한 구역,R126,"340000N 1254800E-
340000N 1260000E-
333000N 1260000E-
333000N 1254800E-
340000N 1254800E",GND-3000
비행 제한 구역,R127,345326N 1271825E,GND-3000
비행 제한 구역,R128,"330000N 1263700E-
324000N 1264500E-
324000N 1262800E-
330000N 1263700E",GND-7000
비행 제한 구역,R129,"352059N 1264007E-
352124N 1264119E-
352105N 1264233E-
351649N 1264240E-
351720N 1264120E-
352059N 1264007E",GND-3500
비행 제한 구역,R131,"375900N 1242125E-
375900N 1243810E-
375400N 1243810E-
375400N 1242125E-
375900N 1242125E",GND-5000
비행 제한 구역,R132,"375700N 1244100E-
375700N 1244400E-
374500N 1245000E-
374500N 1244700E-
375700N 1244100E",GND-10000
비행 제한 구역,R133,372220N 1261135E,GND-500
